863.20,82,45.12,1.28,0.001
869.00,99,45.45,1.244,0.0012
711.00,143,43.36,1.152,0.0018
1092.80,149,45.64,1.228,0.002
1507.80,165,50.3,1.321,0.0024
1621.50,178,46.07,1.323,0.0028
1308.60,193,44.56,1.237,0.003
1718.90,204,47.06,1.31,0.0032
1985.90,214,46.26,1.349,0.0034
1103.60,223,43.95,1.175,0.0036
1951.20,231,45.89,1.333,0.0038
338.50,225,44.44,1.05,0.004
1086.00,243,45.68,1.168,0.0042
726.60,257,43.19,1.102,0.0044
924.00,269,43.49,1.132,0.0046
1369.40,271,45.02,1.193,0.0048
969.20,277,43.68,1.135,0.005
1212.40,277,44.77,1.171,0.0052
1491.30,284,45.77,1.209,0.0054
529.80,301,43.19,1.066,0.0056
986.00,315,41.9,1.128,0.0058
1248.80,321,41.43,1.165,0.006
1608.90,322,42.86,1.22,0.0062
1819.10,324,43.21,1.246,0.0064
1262.60,337,41.84,1.164,0.0066
1861.40,339,43.95,1.255,0.0068
2011.00,347,43.8,1.274,0.007
1442.20,355,43.94,1.181,0.0072
1004.80,363,41.32,1.12,0.0074
1101.60,369,41.46,1.133,0.0076
601.10,372,40.59,1.069,0.0078
1172.00,373,42.63,1.141,0.008
1099.60,385,42.34,1.13,0.0082
1240.00,389,44.22,1.152,0.0084
955.50,398,44.47,1.114,0.0086
1739.20,403,44.42,1.213,0.0088
1438.50,410,43.17,1.172,0.009
1997.30,410,43.9,1.245,0.0092
1837.50,416,43.03,1.217,0.0094
1672.90,422,42.18,1.192,0.0096
2001.10,426,43.66,1.232,0.0098
1889.50,432,42.59,1.213,0.01
2073.70,438,42.92,1.235,0.0102
1615.70,442,42.76,1.176,0.0104
1794.40,447,42.28,1.196,0.0106
1429.40,457,41.79,1.151,0.0108
903.10,464,41.16,1.092,0.011
1225.00,469,40.94,1.127,0.0112
1263.80,473,41.01,1.131,0.0114
564.80,481,39.92,1.057,0.0116
779.20,481,40.75,1.081,0.0118
692.20,485,40.82,1.071,0.012
1411.10,486,41.98,1.15,0.0122
1368.40,495,41.01,1.143,0.0124
920.40,505,41.98,1.093,0.0126
1303.80,511,41.88,1.134,0.0128
1242.80,513,41.91,1.127,0.013
1684.80,515,42.14,1.177,0.0132
1626.60,519,41.62,1.17,0.0134
1831.60,521,41.65,1.192,0.0136
1415.30,528,41.48,1.141,0.0138
1807.70,528,42.42,1.184,0.014
1420.00,535,42.24,1.141,0.0142
1605.70,544,42.1,1.16,0.0144
2080.20,543,43.09,1.214,0.0146
2289.50,548,43.98,1.244,0.0148
1673.70,564,42.91,1.166,0.015
1597.90,566,43.11,1.158,0.0152
1858.50,568,43.66,1.186,0.0154
1767.20,575,42.61,1.175,0.0156
1827.10,578,42.04,1.18,0.0158
1492.00,583,42.02,1.144,0.016
1495.50,588,41.67,1.143,0.0162
1323.60,593,41.65,1.125,0.0164
930.80,599,40.57,1.086,0.0166
949.40,603,40.96,1.087,0.0168
1487.80,609,41.38,1.139,0.017
1719.20,609,42.86,1.163,0.0172
1971.40,609,43.51,1.19,0.0174
1706.60,609,43.68,1.162,0.0176
1708.40,615,43.41,1.161,0.0178
1797.80,617,43.92,1.171,0.018
1927.30,622,43.89,1.183,0.0182
1539.50,632,42.72,1.144,0.0184
1513.30,636,42.92,1.14,0.0186
